,label,feature,normalised_value,raw_value,dp,unit,color,plotting_id
303,MLI,prct5ISI,-0.1421955742882271,0.0099,NewDH12_211201_loccar1_2,637,crimson,11033
304,MLI,prct5ISI,-0.14302101890909977,0.009875,NewDH12_211201_loccar1_2,766,crimson,11034
305,PkC_ss,prct5ISI,-0.33920169046983356,0.0039333333333333,NewDH12_211201_loccar1_2,532,darkblue,11035
306,PkC_ss,prct5ISI,-0.30838509129058916,0.0048666666666666,NewDH12_211201_loccar1_2,503,darkblue,11036
307,PkC_ss,prct5ISI,-0.2984797558401173,0.0051666666666666,NewDH12_211201_loccar1_2,488,darkblue,11037
308,PkC_ss,prct5ISI,-0.3061839056349276,0.0049333333333333,NewDH12_211201_loccar1_2,491,darkblue,11038
309,PkC_ss,prct5ISI,-0.3006809414957755,0.0051,NewDH12_211201_loccar1_2,784,darkblue,11039
310,PkC_ss,prct5ISI,-0.3215922052245515,0.0044666666666666,NewDH12_211201_loccar1_2,419,darkblue,11040
311,PkC_ss,prct5ISI,-0.3491070259203053,0.0036333333333333,NewDH12_211201_loccar1_2,392,darkblue,11041
312,PkC_ss,prct5ISI,-0.27976967776700284,0.0057333333333333,NewDH12_211201_loccar1_2,462,darkblue,11042
313,PkC_ss,prct5ISI,-0.33920169046983356,0.0039333333333333,loccar10_20_KS2.0nocarReal_1651_220628,104,darkblue,11043
314,PkC_ss,prct5ISI,-0.2775684921113414,0.0058,loccar10_20_KS2.0nocarReal_1651_220628,463,darkblue,11044
315,PkC_ss,prct5ISI,-0.24014833596511578,0.0069333333333333,loccar10_20_KS2.0nocarReal_1651_220628,74,darkblue,11045
316,PkC_ss,prct5ISI,-0.341402876125495,0.0038666666666666,loccar10_20_KS2.0nocarReal_1651_220628,75,darkblue,11046
317,PkC_ss,prct5ISI,-0.27866908493917375,0.0057666666666666,loccar10_20_KS2.0nocarReal_1651_220628,35,darkblue,11047
318,MLI,prct5ISI,0.25401784373064384,0.0219,1658_220731_g1_loccar1_2,107,crimson,11048
319,MLI,prct5ISI,-0.341402876125495,0.0038666666666666,DH12_211201g2_2.0usual_1_1000,188,crimson,11049
320,MLI,prct5ISI,-0.35681117571511556,0.0034,DH12_211201g2_2.0usual_1_1000,96,crimson,11050
321,MLI,prct5ISI,-0.36011295419860617,0.0033,DH12_211201g2_2.0usual_1_1000,88,crimson,11051
322,MLI,prct5ISI,-0.09487008269152977,0.0113333333333333,DH12_211201g2_2.0usual_1_1000,69,crimson,11052
323,MLI,prct5ISI,0.1571656748815843,0.0189666666666666,1658_220801_g2_loccar1_2,197,crimson,11053
324,MFB,entropy,-0.7962573969558477,4.729908515801225,1660_220816a_g1_loccar1_2,258,indigo,1100
325,MFB,entropy,0.2520607632539147,6.346205171139274,1660_220816a_g1_loccar1_2,261,indigo,1101
326,MFB,entropy,-0.43482427729760814,5.287166001749115,1660_220816a_g1_loccar1_2,528,indigo,1102
327,MFB,entropy,-0.6870740044953204,4.898247440710339,1660_220816a_g1_loccar1_2,189,indigo,1103
328,MFB,entropy,-1.3896646655612674,3.8149933498669513,1660_220816a_g1_loccar1_2,545,indigo,1104
329,MFB,entropy,-0.8207080238069132,4.692210545947885,1660_220816a_g1_loccar1_2,542,indigo,1105
330,MFB,entropy,-1.1326921821686866,4.211193455127202,1660_220816a_g1_loccar1_2,543,indigo,1106
