,label,feature,normalised_value,raw_value,dp,unit,color,plotting_id,lab
84,PkC_ss,mfr,-0.7806548994117083,0.0,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-24_YC013/19-01-24_YC013_probe1,479,gray,84,hausser
85,PkC_cs,mfr,-0.7479339783474975,1.4833574816902526,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-24_YC013/19-01-24_YC013_probe1,73,orange,85,hausser
86,PkC_cs,mfr,-0.7546541093641103,1.1787096815299378,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-24_YC013/19-01-24_YC013_probe1,415,orange,86,hausser
87,PkC_cs,mfr,-0.7492767170154332,1.4224862902855704,/media/npyx/4TB_ssd1/optag_recordings/MFB/19-01-24_YC013/19-01-24_YC013_probe1,169,orange,87,hausser
88,PkC_ss,mfr,1.2644817243509685,92.71342655617542,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,41,blue,88,hausser
89,PkC_ss,mfr,2.4609408646165383,146.95323886973608,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,61,blue,89,hausser
90,PkC_ss,mfr,1.1024703480386011,85.36886597060128,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,110,blue,90,hausser
91,PkC_ss,mfr,3.1040879452063286,176.10941793779998,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,124,blue,91,hausser
92,PkC_ss,mfr,0.6468205582837874,64.71261600327786,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,572,blue,92,hausser
93,PkC_cs,mfr,-0.7483733604641307,1.4634387040754773,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,42,orange,93,hausser
94,PkC_cs,mfr,-0.7610043675263465,0.8908295531823082,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,53,orange,94,hausser
95,PkC_cs,mfr,-0.7533611315915667,1.23732503189853,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,91,orange,95,hausser
96,PkC_cs,mfr,-0.7563560830422263,1.1015530701949745,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,112,orange,96,hausser
97,PkC_cs,mfr,-0.7567956999020345,1.0816236508245949,/media/npyx/4TB_ssd1/optag_recordings/MFB/20-07-21_DK206/20-07-21_DK206_probe1,123,orange,97,hausser
98,MLI,mfr,0.2889721452956383,48.49005552965021,/media/npyx/4TB_ssd1/optag_recordings/MLI/21-06-11_DK278/21-06-11_DK278_probe1,1693,red,98,hausser
99,PkC_ss,mfr,1.5654766856667417,106.35861481180716,/media/npyx/4TB_ssd1/optag_recordings/MLI/21-06-11_DK278/21-06-11_DK278_probe1,63,blue,99,hausser
100,PkC_ss,mfr,1.2353866954655424,91.3944438572319,/media/npyx/4TB_ssd1/optag_recordings/MLI/21-06-11_DK278/21-06-11_DK278_probe1,481,blue,100,hausser
101,PkC_ss,mfr,0.9932836209767048,80.41903744435949,/media/npyx/4TB_ssd1/optag_recordings/MLI/21-06-11_DK278/21-06-11_DK278_probe1,489,blue,101,hausser
102,PkC_ss,mfr,-0.0769645088851054,31.900825882401005,/media/npyx/4TB_ssd1/optag_recordings/MLI/21-06-11_DK278/21-06-11_DK278_probe1,1185,blue,102,hausser
103,PkC_cs,mfr,-0.7472415431171076,1.5147480705300185,/media/npyx/4TB_ssd1/optag_recordings/MLI/21-06-11_DK278/21-06-11_DK278_probe1,54,orange,103,hausser
104,PkC_cs,mfr,-0.7510736747210074,1.3410237100723306,/media/npyx/4TB_ssd1/optag_recordings/MLI/21-06-11_DK278/21-06-11_DK278_probe1,64,orange,104,hausser
105,PkC_cs,mfr,-0.7806548994117083,0.0,/media/npyx/4TB_ssd1/optag_recordings/MLI/21-06-11_DK278/21-06-11_DK278_probe1,240,gray,105,hausser
106,PkC_cs,mfr,-0.7602561561041906,0.9247486781593508,/media/npyx/4TB_ssd1/optag_recordings/MLI/21-06-11_DK278/21-06-11_DK278_probe1,1058,orange,106,hausser
107,MLI,mfr,-0.6774219955707954,4.679920225000013,/media/npyx/4TB_ssd1/optag_recordings/MLI/19-12-13_YC007/19-12-13_YC007_probe1,996,red,107,hausser
108,MLI,mfr,-0.1620662524148174,28.04285661185509,/media/npyx/4TB_ssd1/optag_recordings/MLI/19-12-13_YC007/19-12-13_YC007_probe1,273,red,108,hausser
109,MLI,mfr,-0.6843844558901457,4.364286762683574,/media/npyx/4TB_ssd1/optag_recordings/MLI/19-12-13_YC007/19-12-13_YC007_probe1,300,red,109,hausser
110,MLI,mfr,-0.7186327517102824,2.811687869142423,/media/npyx/4TB_ssd1/optag_recordings/MLI/19-12-13_YC007/19-12-13_YC007_probe1,503,red,110,hausser
113,MLI,mfr,-0.0656888975338232,32.411990052435634,/media/npyx/4TB_ssd1/optag_recordings/MLI/22-08-13_MO042,420,red,113,hausser
114,MLI,mfr,-0.4390276864978291,15.48719491209763,/media/npyx/4TB_ssd1/optag_recordings/MLI/22-08-13_MO042,347,red,114,hausser
115,PkC_ss,mifr,1.88408678368122,168.88792654984326,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,431,blue,0,hausser
116,PkC_ss,mifr,2.0894494390729816,181.01532929247563,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,437,blue,1,hausser
117,PkC_ss,mifr,0.3382134626436714,77.59855206474408,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,487,blue,2,hausser
118,PkC_ss,mifr,0.2126886154020517,70.18585877928518,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,492,blue,3,hausser
119,PkC_ss,mifr,0.2940594686701618,74.99110005945612,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,494,blue,4,hausser
